PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Air_Quality
154.64,243.95,30.06,63.57,3.47,47.42,1.47,17.4,56.22,3.27,6.83,0.7,318.0,Very Poor
15.1,36.13,9.48,14.19,8.64,6.12,0.25,5.1,32.06,0.28,1.92,0.71,67.0,Satisfactory
57.16,123.23,18.34,40.79,40.39,38.62,1.41,9.14,33.71,2.72,26.9,1.11,123.0,Moderate
69.8,191.17,11.86,25.01,25.66,30.36,0.94,19.42,41.87,2.4,13.75,0.01,172.0,Moderate
43.39,97.86,9.2,33.52,24.66,14.85,0.68,7.02,24.86,3.4,21.63,2.29,87.0,Satisfactory
30.21,61.21,7.75,24.42,17.97,17.69,0.38,5.75,24.31,1.08,8.07,0.23,67.0,Satisfactory
51.55,105.97,8.65,18.33,12.88,38.34,0.79,10.01,55.3,7.29,3.45,2.95,113.0,Moderate
27.5,48.96,9.94,10.97,18.41,10.72,0.43,15.86,16.11,3.91,1.14,12.61,55.0,Satisfactory
152.62,310.74,24.32,44.22,49.67,74.74,11.55,6.79,34.36,2.84,5.37,3.49,358.0,Very Poor
74.94,148.17,18.07,68.63,50.51,20.76,1.4,16.67,51.64,5.42,32.45,6.21,164.0,Moderate
136.72,240.57,58.83,56.31,84.2,41.37,1.48,12.36,26.8,4.62,26.36,0.37,251.0,Poor
68.32,181.17,18.6,30.42,53.75,13.4,1.53,5.1,12.65,9.66,7.47,5.87,129.0,Moderate
50.19,78.52,5.04,12.41,17.49,19.22,0.57,11.65,69.65,2.61,6.5,0.51,117.0,Moderate
52.95,69.41,13.13,13.09,21.88,5.98,0.63,6.56,26.89,2.08,2.13,2.0,184.0,Moderate
52.04,186.28,15.13,43.35,12.52,41.5,0.19,24.0,25.22,0.2,2.61,0.43,144.0,Moderate
55.36,107.88,9.34,37.83,27.59,16.47,0.74,17.25,59.62,6.36,31.59,5.29,111.0,Moderate
51.92,134.45,4.83,37.2,23.05,15.48,0.71,6.0,54.12,1.8,14.25,1.71,124.0,Moderate
38.7,82.24,1.45,16.29,9.94,4.22,0.48,15.76,42.04,0.14,1.06,0.11,83.0,Satisfactory
79.29,102.93,48.39,25.79,73.4,29.47,1.62,8.45,9.87,2.69,1.24,4.59,205.0,Poor
66.94,300.7,11.7,30.33,26.82,43.32,1.03,12.64,60.03,1.79,8.62,0.11,232.0,Poor
51.51,168.11,15.19,36.61,34.28,29.84,1.02,20.65,41.86,2.02,20.11,0.71,150.0,Moderate
24.9,53.83,10.48,8.82,14.49,7.69,0.0,3.84,40.09,1.33,0.84,3.01,55.0,Satisfactory
68.06,130.57,4.64,45.84,27.64,17.45,0.71,6.27,34.76,1.91,12.52,1.36,130.0,Moderate
35.52,68.81,16.51,9.41,20.08,18.25,0.7,22.39,38.58,3.81,1.93,8.94,79.0,Satisfactory
61.95,101.09,4.68,12.21,9.97,37.32,0.53,6.01,4.85,3.04,0.14,0.73,89.0,Satisfactory
57.31,175.25,31.74,26.18,58.62,15.28,0.02,5.98,21.27,14.68,2.54,11.44,138.0,Moderate
26.93,89.58,8.12,15.83,16.95,26.06,0.64,14.08,53.53,1.07,7.79,0.0,123.0,Moderate
23.36,53.68,7.68,19.73,15.18,12.67,0.39,3.72,23.68,0.63,3.39,0.05,56.0,Satisfactory
58.12,96.04,8.65,67.71,13.14,42.78,0.36,44.42,49.82,0.07,1.16,1.32,102.0,Moderate
58.22,124.28,11.9,37.53,30.36,33.9,1.02,13.4,54.85,2.15,21.65,0.15,217.0,Poor
59.64,88.85,1.67,12.12,7.81,14.99,0.77,17.53,57.26,0.89,3.38,0.12,96.0,Satisfactory
52.61,100.26,4.09,25.06,20.72,32.17,0.89,14.62,58.4,3.26,3.43,12.11,114.0,Moderate
46.2,115.57,7.78,45.12,29.83,12.59,0.61,14.26,25.38,4.55,37.94,12.65,118.0,Moderate
48.85,74.56,7.77,9.49,17.26,10.22,0.17,12.12,22.14,4.4,1.15,14.56,75.0,Satisfactory
35.3,89.42,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,95.0,Satisfactory
20.98,64.42,6.11,26.87,18.67,12.12,0.29,8.39,15.33,0.87,6.02,1.87,53.0,Satisfactory
41.47,90.61,0.72,18.25,10.27,4.59,0.5,16.21,54.72,0.05,1.29,0.13,101.0,Moderate
