price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,comes_furnished,laundry_options,parking_options
1400,apartment,1500,2,1.0,0,0,1,0,0,no laundry on site,off-street parking
1815,apartment,1390,2,2.0,1,1,0,0,0,w/d hookups,detached garage
1038,apartment,720,1,1.0,0,0,1,0,0,,
1030,apartment,1195,2,2.0,1,1,1,0,0,,
1925,apartment,781,2,1.0,1,1,1,0,0,,
949,apartment,516,1,1.0,1,1,0,0,0,w/d in unit,carport
2000,manufactured,1300,2,1.0,0,0,0,0,1,laundry in bldg,carport
1195,apartment,864,2,1.0,1,1,1,0,0,laundry on site,off-street parking
1016,apartment,951,1,1.0,1,1,1,0,0,,no parking
1950,house,2144,4,2.0,1,1,1,0,0,w/d hookups,attached garage
1705,apartment,1130,2,2.0,0,0,1,0,0,,
1765,apartment,1060,2,2.0,1,1,1,1,0,w/d in unit,carport
1265,apartment,1225,2,2.0,1,1,1,0,0,,
690,apartment,1100,2,2.0,0,0,1,0,0,,
630,house,735,2,2.0,0,0,1,0,0,,
